#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
    -5.0           2.6786E+00              2.6769E+00
    -4.0           2.7692E+00              2.7682E+00
    -3.0           2.7536E+00              2.7519E+00
    -2.0           2.7221E+00              2.7181E+00
    -1.0           2.6144E+00              2.6033E+00
    -0.0           2.5929E+00              2.5818E+00
     1.0           2.6216E+00              2.6135E+00
     2.0           2.6361E+00              2.6295E+00
     3.0           2.6316E+00              2.6260E+00
     4.0           2.6297E+00              2.6252E+00
     5.0           2.6457E+00              2.6421E+00
     6.0           2.6897E+00              2.6868E+00
     7.0           2.7560E+00              2.7538E+00
     8.0           2.8230E+00              2.8207E+00
     9.0           2.8739E+00              2.8709E+00
    10.0           2.9129E+00              2.9090E+00
    11.0           2.9582E+00              2.9524E+00
    12.0           3.0093E+00              3.0016E+00
    13.0           3.0394E+00              3.0313E+00
    14.0           3.0556E+00              3.0478E+00
    15.0           3.0666E+00              3.0592E+00
    16.0           3.0745E+00              3.0674E+00
    17.0           3.0821E+00              3.0752E+00
    18.0           3.0902E+00              3.0836E+00
    19.0           3.0991E+00              3.0929E+00
    20.0           3.1082E+00              3.1024E+00
    21.0           3.1174E+00              3.1119E+00
    22.0           3.1265E+00              3.1213E+00
    23.0           3.1354E+00              3.1305E+00
    24.0           3.1440E+00              3.1393E+00
    25.0           3.1522E+00              3.1478E+00
    26.0           3.1600E+00              3.1558E+00
    27.0           3.1673E+00              3.1632E+00
    28.0           3.1741E+00              3.1702E+00
    29.0           3.1804E+00              3.1767E+00
    30.0           3.1863E+00              3.1827E+00
    31.0           3.1921E+00              3.1886E+00
    32.0           3.1978E+00              3.1944E+00
    33.0           3.2032E+00              3.2000E+00
    34.0           3.2091E+00              3.2061E+00
    35.0           3.2304E+00              3.2281E+00
    36.0           3.2433E+00              3.2414E+00
    37.0           3.2539E+00              3.2524E+00
    38.0           3.2611E+00              3.2599E+00
    39.0           3.2681E+00              3.2672E+00
    40.0           3.2740E+00              3.2732E+00
    41.0           3.2807E+00              3.2802E+00
    42.0           3.2857E+00              3.2854E+00
